"project","article","timestamp","access","agent","views"
"en.wikipedia","Donald_Trump","2016122300","all-access","user",77753
"en.wikipedia","Donald_Trump","2016122400","all-access","user",71754
"en.wikipedia","Donald_Trump","2016122500","all-access","user",73711
"en.wikipedia","Donald_Trump","2016122600","all-access","user",66639
"en.wikipedia","Donald_Trump","2016122700","all-access","user",66421
"en.wikipedia","Donald_Trump","2016122800","all-access","user",64393
"en.wikipedia","Donald_Trump","2016122900","all-access","user",66721
"en.wikipedia","Donald_Trump","2016123000","all-access","user",63747
"en.wikipedia","Donald_Trump","2016123100","all-access","user",63606
"en.wikipedia","Donald_Trump","2017010100","all-access","user",80360
"en.wikipedia","Donald_Trump","2017010200","all-access","user",76945
"en.wikipedia","Donald_Trump","2017010300","all-access","user",80463
"en.wikipedia","Donald_Trump","2017010400","all-access","user",77510
"en.wikipedia","Donald_Trump","2017010500","all-access","user",73193
"en.wikipedia","Donald_Trump","2017010600","all-access","user",83862
"en.wikipedia","Donald_Trump","2017010700","all-access","user",82548
"en.wikipedia","Donald_Trump","2017010800","all-access","user",81932
"en.wikipedia","Donald_Trump","2017010900","all-access","user",98164
"en.wikipedia","Donald_Trump","2017011000","all-access","user",107590
"en.wikipedia","Donald_Trump","2017011100","all-access","user",196905
"en.wikipedia","Donald_Trump","2017011200","all-access","user",154959
"en.wikipedia","Donald_Trump","2017011300","all-access","user",124641
"en.wikipedia","Donald_Trump","2017011400","all-access","user",108479
"en.wikipedia","Donald_Trump","2017011500","all-access","user",127360
"en.wikipedia","Donald_Trump","2017011600","all-access","user",146032
"en.wikipedia","Donald_Trump","2017011700","all-access","user",163220
"en.wikipedia","Donald_Trump","2017011800","all-access","user",166720
"en.wikipedia","Donald_Trump","2017011900","all-access","user",285309
"en.wikipedia","Donald_Trump","2017012000","all-access","user",2142054
"en.wikipedia","Donald_Trump","2017012100","all-access","user",1493720
"en.wikipedia","Donald_Trump","2017012200","all-access","user",691116
"en.wikipedia","Donald_Trump","2017012300","all-access","user",521975
"en.wikipedia","Donald_Trump","2017012400","all-access","user",411411
"en.wikipedia","Donald_Trump","2017012500","all-access","user",352807
"en.wikipedia","Donald_Trump","2017012600","all-access","user",331294
"en.wikipedia","Donald_Trump","2017012700","all-access","user",294935
"en.wikipedia","Donald_Trump","2017012800","all-access","user",262034
"en.wikipedia","Donald_Trump","2017012900","all-access","user",327051
"en.wikipedia","Donald_Trump","2017013000","all-access","user",324261
"en.wikipedia","Donald_Trump","2017013100","all-access","user",326714
"en.wikipedia","Donald_Trump","2017020100","all-access","user",260666
"en.wikipedia","Donald_Trump","2017020200","all-access","user",226833
"en.wikipedia","Donald_Trump","2017020300","all-access","user",201695
"en.wikipedia","Donald_Trump","2017020400","all-access","user",182102
"en.wikipedia","Donald_Trump","2017020500","all-access","user",188835
"en.wikipedia","Donald_Trump","2017020600","all-access","user",174799
"en.wikipedia","Donald_Trump","2017020700","all-access","user",155395
"en.wikipedia","Donald_Trump","2017020800","all-access","user",150896
"en.wikipedia","Donald_Trump","2017020900","all-access","user",209490
"en.wikipedia","Donald_Trump","2017021000","all-access","user",217113
"en.wikipedia","Donald_Trump","2017021100","all-access","user",128511
"en.wikipedia","Donald_Trump","2017021200","all-access","user",127245
"en.wikipedia","Donald_Trump","2017021300","all-access","user",122331
"en.wikipedia","Donald_Trump","2017021400","all-access","user",117230
"en.wikipedia","Donald_Trump","2017021500","all-access","user",118039
"en.wikipedia","Donald_Trump","2017021600","all-access","user",130944
"en.wikipedia","Donald_Trump","2017021700","all-access","user",131504
"en.wikipedia","Donald_Trump","2017021800","all-access","user",116711
"en.wikipedia","Donald_Trump","2017021900","all-access","user",116531
"en.wikipedia","Donald_Trump","2017022000","all-access","user",119723
"en.wikipedia","Donald_Trump","2017022100","all-access","user",115889
"en.wikipedia","Donald_Trump","2017022200","all-access","user",94532
"en.wikipedia","Donald_Trump","2017022300","all-access","user",85394
"en.wikipedia","Donald_Trump","2017022400","all-access","user",84095
"en.wikipedia","Donald_Trump","2017022500","all-access","user",80255
"en.wikipedia","Donald_Trump","2017022600","all-access","user",85673
"en.wikipedia","Donald_Trump","2017022700","all-access","user",86509
"en.wikipedia","Donald_Trump","2017022800","all-access","user",85026
